Filename	Atlas Name	Biospecimen	Assay	Level	Organ	Diagnosis	Data Access	File Format	HTAN Parent Data File ID	HTAN Data File ID	Data Category	Matrix Type	Linked Matrices	Cell Median Number Reads	Cell Median Number Genes	Cell Total	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Link	Workflow Version	Synapse Id	Atlasid	Data File ID	Parent Data File ID	Is Raw Sequencing	Release Version	Metadata	View
sn_RNAseq_level_3/HT224P1-S1Fc2A2N1Bmn1_1-barcodes.tsv.gz	HTAN WUSTL	HTA12_22_3	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_22_2001	HTA12_22_3001	Other	Raw Counts		56097.9637	1397	4793	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116858	HTA12	HTA12_22_3001	HTA12_22_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT224P1-S1Fc2A2N1Bmn1_1-features.tsv.gz	HTAN WUSTL	HTA12_22_3	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_22_2001	HTA12_22_3002	Other	Raw Counts		56097.9637	1397	4793	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116845	HTA12	HTA12_22_3002	HTA12_22_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT224P1-S1Fc2A2N1Bmn1_1-matrix.mtx.gz	HTAN WUSTL	HTA12_22_3	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_22_2001	HTA12_22_3003	Gene Expression	Raw Counts		56097.9637	1397	4793	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116866	HTA12	HTA12_22_3003	HTA12_22_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT231P1-S1H3Fc2A2N1Z1_1Bmn1_1-barcodes.tsv.gz	HTAN WUSTL	HTA12_23_2	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_23_2001	HTA12_23_3001	Other	Raw Counts		35657.0089	1524	7330	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116863	HTA12	HTA12_23_3001	HTA12_23_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT231P1-S1H3Fc2A2N1Z1_1Bmn1_1-features.tsv.gz	HTAN WUSTL	HTA12_23_2	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_23_2001	HTA12_23_3002	Other	Raw Counts		35657.0089	1524	7330	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116848	HTA12	HTA12_23_3002	HTA12_23_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT231P1-S1H3Fc2A2N1Z1_1Bmn1_1-matrix.mtx.gz	HTAN WUSTL	HTA12_23_2	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_23_2001	HTA12_23_3003	Gene Expression	Raw Counts		35657.0089	1524	7330	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116869	HTA12	HTA12_23_3003	HTA12_23_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT232P1-S1H1Fc2A2_1N1Bmn1_1-barcodes.tsv.gz	HTAN WUSTL	HTA12_24_4	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_24_2001	HTA12_24_3001	Other	Raw Counts		46387.7826	1611.5	8096	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51122319	HTA12	HTA12_24_3001	HTA12_24_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT232P1-S1H1Fc2A2_1N1Bmn1_1-features.tsv.gz	HTAN WUSTL	HTA12_24_4	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_24_2001	HTA12_24_3002	Other	Raw Counts		46387.7826	1611.5	8096	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116851	HTA12	HTA12_24_3002	HTA12_24_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT232P1-S1H1Fc2A2_1N1Bmn1_1-matrix.mtx.gz	HTAN WUSTL	HTA12_24_4	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_24_2001	HTA12_24_3003	Gene Expression	Raw Counts		46387.7826	1611.5	8096	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116870	HTA12	HTA12_24_3003	HTA12_24_2001		Release 3.0	Details	
sn_RNAseq_level_3/HT242P1-S1H1Fc2A2N1Z1_1Bmn1-barcodes.tsv.gz	HTAN WUSTL	HTA12_25_3	scRNA-seq	Level 3	Pancreas NOS	Adenocarcinoma pancreatobiliary type	Synapse	gzip	HTA12_25_2001	HTA12_25_3001	Other	Raw Counts		16829.5133	1229	13717	CellRanger	For each sample, we obtained the unfiltered feature-barcode matrix per sample by passing the demultiplexed FASTQs to cellranger-arc-1.0.1 command using default parameters and the prebuilt GRCh38 genome reference (refdata-cellranger-arc-GRCh38-2020-A-2.0.0)	https://support.10xgenomics.com/single-cell-multiome-atac-gex/software/pipelines/latest/using/count	cellranger-arc-1.0.1	syn51116855	HTA12	HTA12_25_3001	HTA12_25_2001		Release 3.0	Details	
