"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"1","0 Biospecimens","","","10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, H&E, H&E, H&E, H&E, H&E, H&E, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq",TRUE
"2","HTA11_10711_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"3","HTA11_1391_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"4","HTA11_1938_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"5","HTA11_2112_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, MxIF, H&E",TRUE
"6","HTA11_2235_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"7","HTA11_2487_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"8","HTA11_2951_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, H&E",TRUE
"9","HTA11_3331_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"10","HTA11_3361_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, MxIF, MxIF, MxIF, MxIF, MxIF, MxIF, MxIF, H&E",TRUE
