"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"1","0 Biospecimens","","","10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, scATAC-seq, H&E, H&E, H&E, H&E, H&E, H&E, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq",TRUE
"2","HTA11_10711_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"3","HTA11_1938_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"4","HTA11_6134_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"5","HTA11_7663_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"6","HTA11_7862_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"7","HTA11_8622_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"8","HTA11_8622_2000001021","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"9","HTA11_9999991971_1971","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"10","HTA11_9999991973_1973","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
